Palabra;Label
yomevacuno;positive
vacunassí;positive
vacunactivate;positive
lasvacunassonseguras;positive
sialasvacunas;positive
vacunasparatodos;positive
vacunassalvanvidas;positive
lasvacunasfuncionan;positive
saludsinbulos;positive
vaccineswork;positive
yosimevacuno;positive
yonomevacuno;negative
novaccine;negative
notevacunes;negative
nomicrochip;negative
vacunaveneno;negative
vaccinesdonotwork;negative
noalasvacunas;negative
micuerpoesmio;negative
novacunacovid;negative
novacuna;negative
vacunasno;negative
dinoalasvacunas;negative
autismo;negative
estafa;negative
plandemia;negative
genocidio;negative
experimental;negative
mercurio;negative
toxico;negative
vacunasno;negative
dinoalasvacuna;negative
dinoalasvacuno;negative
novacunar;negative
novacuno;negative
nuremberg;negative
