Noun;Polarity;Emotion Interval
5G;-4;6
abandono;-2;2
abatimiento;-5;2
abismo;-4;6
abolladura;-1;
abominación;-5;
aborto;-2;
abrazo;2;
absurdez;-4;4
absurdo;-4;4
abundancia;2;
aburrimiento;-3;
abuso;-5;1
abusón;-5;1
acceso;1;
accesorio;1;
accidente;-2;
acción;1;
aceptación;1;
acertijo;-2;
acidez;-1;
acierto;3;2
aclaración;1;2
acogida;2;3
acogimiento;2;3
acompañante;1;
acondicionado;1;
acontecimiento;2;4
acople;-2;
actividad;1;
actorazo;4;
actualidad;1;
actualización;1;
acuerdo;2;3
acusación;-2;4
adaptabilidad;1;1
adaptación;1;
adelantamiento;2;
adelanto;2;2
adicción;-4;2
admiración;3;4
admirador;4;5
ADN;-1;6
adoración;5;5
adquisición;3;
adulación;4;
adversidad;-5;2
afán;1;
afecto;3;4
aficionado;2;
afirmación;2;
aflojamiento;-3;
afluencia;2;
agobio;-4;7
agotamiento;-1;2
agradecimiento;2;2
agravamiento;-3;7
agresividad;-3;1
ahorro;1;
aislamiento;-2;3
alarde;-1;
alarido;-2;
albedrío;3;
alboroto;-1;
alegría;2;1
aliciente;3;7
alivio;2;3
alojamiento;-1;
altanería;-1;
alteración;-3;6
altibajo;-1;
altivez;-2;
alucinación;-2;6
aluminio;-2;7
alzheimer;-3;7
amabilidad;2;
amago;-1;
amante;2;
amargor;-2;3
amargura;-3;3
amateur;-3;
ambiente;-2;
amenaza;-4;7
americanada;-1;
amigo;2;
amigote;-2;
amiguete;1;
amiguete;2;
amiguito;2;
amistad;4;1
amor;5;1
amorío;1;
ampliación;1;
amplitud;1;
anarquía;-3;6
ángel;3;
angelito;2;
angustia;-3;3
anhelo;2;2
animación;1;
ánimo;1;
animosidad;-3;
aniquilación;-5;3
aniversario;2;
anomalía;-2;
anorexia;-3;7
anormalidad;-2;
anticuerpo;4;2
antígeno;-3;7
antipatía;-4;
antivacuna;-3;6
antro;-3;
anulación;-1;2
aparato;-3;
apariencia;1;
apatía;-2;
apocalipsis;-5;6
aportación;1;
aporte;1;
apoyo;2;2
apreciación;2;
aprecio;2;
aprensión;-1;
aprieto;-1;
aprobación;1;3
aptitud;2;2
apuro;-1;
armonía;2;
arrepentimiento;1;4
arrogancia;-3;4
artimaña;-2;
artista;1;
asco;-3;4
asedio;-4;3
asesinato;-5;7
asesino;-5;7
asistencia;1;
asno;-3;
asociación;1;
asombro;2;5
aspaviento;-2;
aspereza;-2;
aspiración;1;
asquerosidad;-4;4
asqueroso;-4;4
astro;3;
ataque;-1;4
atentado;-4;6
atracador;-2;7
atracción;4;5
atraco;-2;
atractivo;3;5
atraso;-2;
atrocidad;-5;6
aturdimiento;-3;3
audacia;3;7
auge;3;4
ausencia;-1;
autenticidad;2;
autismo;-3;7
autodestrucción;-3;6
autoestima;2;
autosuficiencia;2;
avance;4;2
avaricia;-2;
avaro;-2;
aventura;2;
avería;-2;
aversión;-2;
avidez;1;
ayuda;1;
ayudante;1;
bajón;-2;
baliza;1;
banalidad;-3;4
bandido;-3;
bandolero;-1;
banquete;2;
barbaridad;-4;6
barbarie;-5;6
bárbaro;-1;
barrera;2;
barrizal;-3;
basura;-2;
batiburrillo;-2;
bazofia;-3;4
bellaco;-3;
belleza;4;5
beneficio;3;3
berrido;-1;
best_seller;4;
bestia;-4;7
bestialidad;-5;7
bestseller;4;
bienestar;4;3
birria;-3;4
blandura;2;
bloqueo;-2;
bodrio;-4;4
bofetada;-4;
boga;3;
bombazo;2;
bombo;-2;
bondad;4;4
borracho;-2;
borrego;-3;4
bostezo;-1;
bozal;-4;6
brecha;-1;
brillantez;4;5
brillo;3;5
brío;4;
broma;2;
bronca;-3;1
brote;-2;7
bruja;-2;
brutalidad;-3;5
buenazo;2;
bulo;-4;6
burla;-3;4
burocracia;-1;
burrada;-3;5
burro;-2;
caballerosidad;2;
cabreo;-3;1
caída;-3;
calambre;-1;
calamidad;-2;2
calidad;2;
calma;1;
calor;2;
calvario;-3;2
camarilla;-2;
cambiazo;-2;
campeón;3;
canalla;-2;
cáncer;-3;7
cancer;-3;7
caníbal;-4;
caos;-4;6
capa;-3;
capacidad;2;
capullo;-4;1
carácter;3;7
carga;-3;
caricatura;-2;
caridad;2;
cariño;1;
carisma;3;2
carnicería;-3;3
cataclismo;-5;6
catástrofe;-5;6
cautivo;1;
cenit;4;4
cerdo;-2;6
certeza;4;2
chanchullo;-3;4
chantaje;-3;1
chantiasco;-5;1
chillido;-3;1
chip;-5;6
chivo;-2;
chorrada;-2;
chorradita;-1;
cicatriz;-2;
cielo;3;
ciencia;4;2
cima;4;4
cinismo;-3;4
claridad;1;
clásico;4;
coacción;-2;
cobarde;-3;4
cohesión;2;
colaboración;2;
colectivo;2;
colega;1;
cólera;-2;1
colisión;-1;
combate;-1;
comedia;1;
comienzo;-2;
comodidad;2;
compañerismo;2;
compañero;1;
compañía;1;
compasión;2;
compatibilidad;1;
compenetración;2;
compensación;1;
compensador;1;
competencia;2;2
complejidad;-1;
complejo;-3;5
complicación;-2;
comprensión;2;
compromiso;2;2
comunidad;3;3
conciencia;2;
condena;1;
confianza;5;2
conficto;-4;
confidencialidad;-1;
conflicto;-2;
conformidad;-1;
confrontación;-1;
confusión;-3;5
congestión;-2;
congratulación;2;
congreso;-1;
conmemoración;2;
connivencia;-2;
conquista;2;
consecuencia;-2;
consentimiento;1;
consideración;2;
consistencia;2;
conspiración;-3;6
consternación;-3;2
consuelo;3;3
contaminación;-2;
contenido;1;
continuidad;2;
contradicción;-2;5
contrario;-2;
contratiempo;-1;
contribución;2;3
control;-2;1
controvertido;-2;5
coñazo;-5;4
cooperación;2;2
coordinación;2;2
coraje;5;7
corazón;1;
cordura;4;6
cornucopia;3;
corrección;1;
corrosión;-3;
corrupción;-3;4
cortesía;2;
costo;-1;
covid19;-3;
creatividad;3;4
credibilidad;2;2
crédito;1;
credulidad;-1;
crimen;-2;
crítica;-3;
crítico;-2;
crudeza;-3;2
crueldad;-4;2
cruzada;1;
culminación;4;5
culpa;-2;
culpable;-2;
cultura;1;
cumplido;2;2
cumplimiento;3;2
daño;-2;
deber;-1;
decadencia;-2;
decencia;2;
decepción;-3;2
decisión;1;
decrepitud;-3;
dedicatoria;3;
defecto;-2;
defensa;3;2
deficiencia;-2;
déficit;-1;
deformación;-2;
delicadeza;-1;
delicia;4;1
delincuencia;-4;3
delirio;-2;
delito;-4;3
demagogia;-4;6
demonio;-3;6
denegación;-1;
depravación;-3;
depresión;-3;2
derivado;-2;
derramamiento;-2;
derroche;-3;4
derrota;-4;2
desacuerdo;-2;
desafío;-1;
desaire;-2;
desamor;-3;2
desánimo;-4;2
desaparición;-3;5
desaprobación;-2;
desarrollo;5;2
desasosiego;-3;3
desastre;-4;7
